customerID;gender;SeniorCitizen;Partner;Dependents;tenure;Cuenta_Corriente;Multiple_CC;Forma_Pago;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;Atencion_Telf;Atencion_personal;Contract;Correspondencia;MonthlyCharges;TotalCharges;Churn;Letra
7310-EGVHZ;Male;0;No;No;1;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;20.2;20.2;No;B
6234-RAAPL;Female;0;Yes;Yes;72;Yes;Yes;P2P;Yes;Yes;No;Yes;Yes;No;Two year;No;99.9;7251.7;No;D
6572-ADKRS;Female;0;No;No;46;Yes;No;P2P;No;No;Yes;No;No;No;Month-to-month;Yes;74.8;3548.3;No;B
8168-UQWWF;Female;0;No;No;11;Yes;Yes;P2P;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;97.85;1105.4;Yes;D
9489-DEDVP;Female;0;Yes;Yes;70;Yes;Yes;P2C;Yes;Yes;No;No;Yes;No;Two year;Yes;69.2;4872.35;No;B
4671-VJLCL;Female;0;No;No;63;Yes;Yes;P2C;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;79.85;4861.45;No;D
3714-NTNFO;Female;0;No;No;49;Yes;Yes;P2P;No;No;No;No;No;Yes;Month-to-month;Yes;84.5;3906.7;No;B
7760-OYPDY;Female;0;No;No;2;Yes;No;P2P;No;No;No;No;Yes;No;Month-to-month;Yes;80.65;144.15;Yes;D
2954-PIBKO;Female;0;Yes;Yes;69;Yes;Yes;P2C;Yes;No;Yes;Yes;No;No;Two year;Yes;64.15;4254.1;No;B
9420-LOJKX;Female;0;No;No;15;Yes;No;P2P;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;99.1;1426.4;Yes;D
7495-OOKFY;Female;1;Yes;No;8;Yes;Yes;P2P;No;Yes;No;No;No;No;Month-to-month;Yes;80.65;633.3;Yes;B
1658-BYGOY;Male;1;No;No;18;Yes;Yes;P2P;No;No;No;No;Yes;Yes;Month-to-month;Yes;95.45;1752.55;Yes;D
5067-XJQFU;Male;1;Yes;Yes;66;Yes;Yes;P2P;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;108.45;7076.35;No;B
5954-BDFSG;Female;0;No;No;72;Yes;Yes;P2P;No;No;Yes;Yes;Yes;Yes;Two year;Yes;107.5;7853.7;No;D
1215-FIGMP;Male;0;No;No;60;Yes;Yes;P2P;No;Yes;No;No;Yes;No;Month-to-month;Yes;89.9;5450.7;No;B
0557-ASKVU;Female;0;Yes;Yes;18;Yes;No;P2C;No;No;Yes;Yes;No;No;One year;Yes;54.4;957.1;No;D
5122-CYFXA;Female;0;No;No;3;Yes;No;P2C;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;75.3;244.1;No;B
3410-YOQBQ;Female;0;No;No;31;Yes;No;P2C;No;Yes;Yes;Yes;Yes;Yes;Two year;No;79.2;2497.2;No;D
7410-OIEDU;Male;0;No;No;10;Yes;No;P2P;Yes;No;Yes;No;No;No;Month-to-month;Yes;79.85;887.35;No;B
0731-EBJQB;Female;0;Yes;Yes;52;Yes;No;WIRE;No;No;No;No;No;No;One year;Yes;20.4;1090.65;No;D
8028-PNXHQ;Male;0;Yes;Yes;62;Yes;Yes;WIRE;No;No;No;No;No;No;Two year;Yes;24.25;1424.6;No;B
2673-CXQEU;Female;1;No;No;56;Yes;Yes;P2P;Yes;Yes;Yes;No;Yes;Yes;One year;No;110.5;6139.5;No;D
5590-ZSKRV;Female;0;Yes;Yes;8;Yes;No;P2C;Yes;Yes;No;No;No;No;Month-to-month;No;54.65;482.25;No;B
3887-PBQAO;Female;0;Yes;Yes;45;Yes;Yes;WIRE;No;No;No;No;No;No;One year;Yes;25.9;1216.6;No;D
8108-UXRQN;Female;0;Yes;Yes;11;No;No;P2C;Yes;No;No;No;Yes;Yes;Month-to-month;No;50.55;565.35;No;B
9919-YLNNG;Female;0;No;No;42;Yes;No;P2P;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;103.8;4327.5;No;D
4445-ZJNMU;Male;0;No;No;9;Yes;Yes;P2P;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;99.3;918.75;No;B
1862-QRWPE;Female;0;Yes;Yes;48;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;20.65;1057;No;D
3016-KSVCP;Male;0;Yes;No;29;No;No;P2C;No;No;No;No;Yes;No;Month-to-month;No;33.75;1009.25;No;B
2424-WVHPL;Male;1;No;No;1;Yes;No;P2P;No;No;No;Yes;No;No;Month-to-month;No;74.7;74.7;No;D
6067-NGCEU;Female;0;No;No;65;Yes;Yes;P2P;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;111.05;7107;No;B
8637-XJIVR;Female;0;No;No;12;Yes;Yes;P2P;Yes;No;No;No;No;No;Month-to-month;Yes;78.95;927.35;Yes;D
0278-YXOOG;Male;0;No;No;5;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;21.05;113.85;Yes;B
4598-XLKNJ;Female;1;Yes;No;25;Yes;No;P2P;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;98.5;2514.5;Yes;D
3679-XASPY;Female;0;Yes;Yes;1;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;19.45;19.45;No;B
5386-THSLQ;Female;1;Yes;No;66;No;No;P2C;No;Yes;Yes;No;Yes;No;One year;No;45.55;3027.25;No;D
6180-YBIQI;Male;0;No;No;5;No;No;P2C;No;No;No;No;No;No;Month-to-month;No;24.3;100.2;No;B
9750-BOOHV;Female;0;No;No;32;No;No;P2C;Yes;No;No;No;No;No;One year;No;30.15;927.65;No;D
2848-YXSMW;Male;0;Yes;Yes;72;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;19.4;1363.25;No;B
4549-ZDQYY;Female;0;No;No;52;Yes;No;P2C;Yes;No;Yes;Yes;No;No;One year;No;57.95;3042.25;No;D
4846-WHAFZ;Female;1;Yes;No;37;Yes;Yes;P2P;No;No;No;No;No;No;Month-to-month;Yes;76.5;2868.15;Yes;B
3071-VBYPO;Male;0;Yes;Yes;3;Yes;No;P2P;Yes;Yes;No;No;Yes;No;Month-to-month;No;89.85;248.4;No;D
5299-RULOA;Female;0;Yes;Yes;10;Yes;Yes;P2P;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;100.25;1064.65;Yes;B
9445-ZUEQE;Male;0;Yes;Yes;27;Yes;Yes;P2P;No;Yes;No;Yes;No;No;Month-to-month;Yes;85.2;2151.6;No;D
2928-HLDBA;Female;0;No;No;6;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;20.7;112.75;No;B
6497-TILVL;Female;0;Yes;Yes;7;Yes;No;P2C;Yes;No;No;No;No;No;Month-to-month;No;50.7;350.35;No;D
4622-YNKIJ;Male;0;No;No;33;Yes;No;P2P;Yes;No;No;Yes;Yes;No;Two year;Yes;88.95;3027.65;No;B
6734-PSBAW;Male;0;Yes;No;72;Yes;Yes;WIRE;No;No;No;No;No;No;Two year;Yes;23.55;1723.95;No;D
2639-UGMAZ;Male;1;No;No;71;No;No;P2C;Yes;Yes;No;No;Yes;Yes;One year;Yes;56.45;3985.35;No;B
6207-WIOLX;Female;0;Yes;Yes;25;No;No;P2C;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;58.6;1502.65;Yes;D
3091-FYHKI;Male;0;No;No;1;No;No;P2C;No;No;No;No;No;Yes;Month-to-month;Yes;35.45;35.45;Yes;B
7799-LGRDP;Female;0;No;No;43;Yes;Yes;WIRE;No;No;No;No;No;No;Two year;Yes;25.7;1188.2;No;D
3774-VBNXY;Female;0;Yes;Yes;64;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;20.2;1277.75;No;B
0390-DCFDQ;Female;1;Yes;No;1;Yes;No;P2P;No;No;No;No;No;No;Month-to-month;Yes;70.45;70.45;Yes;D
4080-OGPJL;Female;0;No;No;8;Yes;Yes;P2C;Yes;No;No;Yes;No;Yes;Month-to-month;No;71.15;563.65;Yes;B
2636-SJDOU;Male;0;No;No;64;Yes;Yes;P2P;Yes;Yes;No;No;No;No;One year;Yes;84.3;5289.05;No;D
5716-EZXZN;Female;0;Yes;Yes;65;Yes;Yes;P2P;Yes;Yes;No;Yes;Yes;No;Two year;Yes;99.05;6416.7;No;B
2135-RXIHG;Male;0;No;No;1;Yes;No;P2C;No;No;No;No;No;No;Month-to-month;Yes;45.65;45.65;Yes;D
3466-BYAVD;Male;0;Yes;Yes;15;Yes;No;P2C;No;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;69.5;1071.4;No;B
3874-EQOEP;Male;0;No;No;7;Yes;Yes;P2P;No;No;No;No;Yes;Yes;Month-to-month;No;95;655.5;Yes;D
9073-ZZIAY;Male;0;Yes;Yes;62;Yes;No;P2C;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;86.1;5215.25;No;B
6551-GNYDG;Female;0;Yes;Yes;14;Yes;No;P2P;No;No;No;No;No;Yes;Month-to-month;Yes;80.9;1152.8;No;D
2749-CTKAJ;Male;0;Yes;Yes;22;Yes;No;WIRE;No;No;No;No;No;No;One year;No;20.15;419.9;No;B
7554-NEWDD;Male;0;No;No;10;Yes;Yes;WIRE;No;No;No;No;No;No;Two year;No;25.7;251.6;No;D
0867-MKZVY;Female;0;Yes;No;20;Yes;Yes;P2P;Yes;No;No;No;No;No;Month-to-month;No;82.4;1592.35;Yes;B
4648-YPBTM;Male;0;No;No;53;Yes;Yes;P2C;No;Yes;Yes;Yes;No;Yes;Two year;Yes;73.9;3958.25;No;D
6345-FZOQH;Male;0;Yes;No;69;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;19.9;1363.45;No;B
5997-OPVFA;Male;0;Yes;No;72;Yes;Yes;P2C;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;89.05;6254.45;No;D
1159-WFSGR;Female;0;Yes;Yes;16;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;20.4;321.4;No;B
1875-QIVME;Female;0;Yes;No;2;Yes;Yes;P2P;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;104.4;242.8;Yes;D
0691-JVSYA;Female;0;Yes;No;53;Yes;No;P2P;No;No;Yes;No;Yes;Yes;One year;Yes;94.85;5000.2;Yes;B
1744-JHKYS;Female;0;Yes;No;34;Yes;Yes;WIRE;No;No;No;No;No;No;Month-to-month;No;24.7;780.2;No;D
2070-FNEXE;Female;1;No;No;7;Yes;No;P2P;Yes;No;No;No;No;No;Month-to-month;No;76.45;503.6;Yes;B
3712-PKXZA;Male;0;Yes;No;61;Yes;No;WIRE;No;No;No;No;No;No;One year;Yes;20.55;1252;No;D
6582-OIVSP;Female;0;No;No;1;Yes;No;P2C;No;No;No;No;No;No;Month-to-month;No;45.3;45.3;No;B
5524-KHNJP;Male;0;Yes;Yes;33;Yes;No;P2C;Yes;No;Yes;No;Yes;Yes;One year;No;74.75;2453.3;No;D
1024-GUALD;Female;0;Yes;No;1;No;No;P2C;No;No;No;No;No;No;Month-to-month;Yes;24.8;24.8;Yes;B
8167-GJLRN;Male;0;No;No;3;No;No;P2C;No;No;No;Yes;No;No;Month-to-month;No;30.4;82.15;No;D
8017-UVSZU;Female;0;Yes;No;40;Yes;Yes;P2C;No;Yes;No;No;No;No;Month-to-month;No;56.6;2379.1;No;B
2472-OVKUP;Male;0;Yes;No;6;Yes;No;P2P;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;91;531;Yes;D
9680-NIAUV;Female;0;Yes;Yes;72;Yes;Yes;P2P;Yes;Yes;Yes;No;Yes;Yes;Two year;No;109.7;8129.3;No;B
2604-IJPDU;Female;0;Yes;No;20;Yes;No;P2P;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;96.55;1901.65;No;D
6168-YBYNP;Male;0;No;No;59;Yes;Yes;P2P;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;111.35;6519.75;No;B
3645-DEYGF;Male;0;No;Yes;1;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;20.75;20.75;No;D
8544-GOQSH;Female;0;No;No;14;Yes;No;P2P;No;Yes;No;Yes;No;No;Month-to-month;Yes;80.05;1112.3;No;B
7018-WBJNK;Male;0;No;Yes;13;Yes;No;P2P;No;No;No;No;Yes;No;Month-to-month;Yes;78.3;1033.95;No;D
7674-YTAFD;Female;0;No;No;33;Yes;No;P2P;No;Yes;No;Yes;No;No;One year;Yes;79.95;2684.85;No;B
1285-OKIPP;Male;0;No;No;1;Yes;No;P2P;No;No;No;No;No;Yes;Month-to-month;No;79.9;79.9;Yes;D
1347-KTTTA;Male;0;Yes;No;64;Yes;No;P2P;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;102.45;6654.1;No;B
4195-NZGTA;Female;0;No;No;1;No;No;P2C;No;No;No;No;No;No;Month-to-month;No;25.25;25.25;No;D
4709-LKHYG;Female;0;Yes;Yes;29;Yes;No;WIRE;No;No;No;No;No;No;One year;No;20;540.05;No;B
0699-NDKJM;Female;0;Yes;No;57;No;No;P2C;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;58.75;3437.45;No;D
0230-WEQUW;Male;0;Yes;No;66;No;No;P2C;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;56.6;3789.2;No;B
6496-JDSSB;Female;0;No;No;8;Yes;No;P2P;No;No;No;No;Yes;No;Month-to-month;Yes;80;624.6;No;D
4443-EMBNA;Female;0;Yes;No;71;Yes;Yes;WIRE;No;No;No;No;No;No;Two year;No;24.75;1836.9;No;B
0742-MOABM;Male;0;Yes;No;4;Yes;No;P2C;No;No;No;Yes;No;No;Month-to-month;No;50.05;179.35;Yes;D
6778-JFCMK;Male;0;No;No;24;No;No;P2C;Yes;No;No;No;Yes;Yes;One year;Yes;50.6;1288.75;No;B
2232-DMLXU;Female;0;Yes;No;1;Yes;No;P2C;No;No;No;No;Yes;No;Month-to-month;No;55.2;55.2;Yes;D
0945-TSONX;Female;0;Yes;Yes;47;Yes;Yes;P2C;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;85.3;4107.25;No;B
3316-UWXUY;Male;0;No;No;50;Yes;No;P2P;Yes;Yes;No;Yes;No;Yes;Month-to-month;Yes;93.5;4747.5;No;D
7083-MIOPC;Female;0;No;No;72;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;20.25;1566.9;No;B
1251-KRREG;Male;0;No;No;2;Yes;Yes;P2C;No;Yes;No;No;No;No;Month-to-month;Yes;54.4;114.1;Yes;D
9903-LYSAB;Male;0;Yes;No;18;Yes;Yes;P2P;No;No;No;No;No;No;Month-to-month;Yes;73.15;1305.95;No;B
9227-UAQFT;Male;0;No;No;16;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;19.75;284.35;No;D
6614-FHDBO;Male;0;No;No;72;Yes;Yes;P2P;No;Yes;Yes;Yes;Yes;Yes;Two year;No;109.2;7878.3;No;B
9058-HRZSV;Female;1;Yes;No;65;Yes;No;P2P;Yes;Yes;Yes;No;No;Yes;Month-to-month;No;94.4;6126.15;No;D
0221-WMXNQ;Male;1;No;No;4;Yes;No;P2P;Yes;No;No;No;No;No;Month-to-month;No;75.35;273.4;No;B
9947-OTFQU;Male;1;No;No;15;Yes;No;P2P;No;Yes;No;No;No;No;Month-to-month;Yes;74.4;1074.3;Yes;D
0959-WHOKV;Male;0;No;No;42;Yes;Yes;P2P;Yes;Yes;Yes;No;No;Yes;One year;Yes;99;4298.45;No;B
4629-NRXKX;Female;0;Yes;Yes;2;Yes;No;P2P;No;No;No;No;No;No;Month-to-month;No;70.4;147.15;Yes;D
3282-ZISZV;Male;0;No;Yes;32;Yes;Yes;P2C;No;Yes;Yes;Yes;Yes;Yes;One year;No;83.7;2633.3;No;B
4111-BNXIF;Female;0;Yes;Yes;67;No;No;P2C;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;59.55;4103.9;No;D
6655-LHBYW;Male;0;No;No;50;Yes;Yes;P2P;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;114.35;5791.1;No;B
5046-NUHWD;Female;1;Yes;No;29;No;No;P2C;Yes;No;Yes;No;No;Yes;Month-to-month;Yes;45;1228.65;No;D
3606-TWKGI;Male;1;No;No;13;Yes;Yes;P2P;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;106.9;1364.3;Yes;B
7605-BDWDC;Female;0;No;No;31;No;No;P2C;Yes;Yes;No;Yes;No;Yes;Two year;Yes;49.85;1520.1;No;D
0123-CRBRT;Female;0;Yes;Yes;61;Yes;Yes;P2C;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;88.1;5526.75;No;B
3197-ARFOY;Female;1;No;No;19;Yes;No;P2P;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;105;2007.25;No;D
7014-ZZXAW;Female;0;Yes;No;71;Yes;Yes;WIRE;No;No;No;No;No;No;Two year;Yes;24.25;1732.95;No;B
7633-MVPUY;Male;0;Yes;No;57;Yes;No;P2C;Yes;Yes;No;Yes;No;No;Two year;Yes;59.75;3450.15;No;D
4716-HHKQH;Male;1;Yes;No;20;Yes;Yes;P2P;No;Yes;No;Yes;Yes;Yes;Month-to-month;No;107.05;2172.05;No;B
6432-TWQLB;Male;0;Yes;No;5;Yes;Yes;P2P;No;Yes;No;Yes;No;No;Month-to-month;Yes;85.4;401.1;Yes;D
3179-GBRWV;Male;1;Yes;No;21;Yes;No;P2C;Yes;Yes;No;No;No;Yes;Month-to-month;Yes;64.95;1339.8;No;B
4130-MZLCC;Female;0;No;No;5;Yes;No;P2C;No;Yes;No;No;No;No;Month-to-month;No;50.55;244.75;No;D
8229-MYEJZ;Female;0;No;No;10;Yes;No;P2C;No;Yes;No;No;No;No;Month-to-month;No;51.2;498.25;No;B
9577-WJVCQ;Female;0;No;No;68;Yes;Yes;P2C;Yes;No;No;No;No;No;Month-to-month;No;54.45;3687.75;No;D
6202-DYYFX;Female;0;No;No;22;Yes;Yes;P2P;No;No;No;No;No;No;One year;Yes;76;1783.6;No;B
5583-SXDAG;Male;0;Yes;No;1;Yes;No;P2P;No;No;No;No;No;No;Month-to-month;No;70;70;Yes;D
3580-REOAC;Male;0;No;No;10;Yes;No;P2C;No;No;No;No;No;No;Month-to-month;Yes;44.85;435.4;Yes;B
3727-OWVYD;Male;0;No;No;35;Yes;No;P2C;Yes;Yes;Yes;No;No;No;One year;No;61.2;2021.2;No;D
4847-TAJYI;Female;1;No;No;6;Yes;No;P2P;No;No;No;No;Yes;Yes;Month-to-month;Yes;89.35;567.8;No;B
8203-XJZRC;Male;0;No;No;1;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;20.25;20.25;No;D
6851-WEFYX;Male;1;Yes;No;35;Yes;Yes;P2P;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;100.8;3437.5;No;B
6390-DSAZX;Female;0;No;Yes;1;Yes;No;P2P;Yes;No;No;No;No;No;Month-to-month;Yes;73.6;73.6;Yes;D
8098-LLAZX;Female;1;No;No;4;Yes;Yes;P2P;No;No;No;No;Yes;Yes;Month-to-month;Yes;95.45;396.1;Yes;B
8181-YHCMF;Female;0;Yes;Yes;68;No;No;P2C;No;Yes;Yes;Yes;Yes;Yes;Two year;No;60.3;4109;No;D
1248-DYXUB;Male;0;Yes;Yes;52;Yes;Yes;WIRE;No;No;No;No;No;No;Two year;No;24.8;1229.1;No;B
4115-BNPJY;Male;0;Yes;Yes;29;Yes;No;P2C;No;No;Yes;Yes;Yes;Yes;Two year;No;75.55;2054.4;No;D
4091-TVOCN;Male;0;No;Yes;48;Yes;Yes;P2C;Yes;No;Yes;No;Yes;Yes;One year;Yes;78.75;3682.45;No;B
7277-OZCGZ;Female;0;No;No;22;Yes;No;P2P;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;89.05;1886.25;No;D
2799-ARNLO;Female;1;Yes;No;5;Yes;No;P2P;No;No;No;No;No;No;Month-to-month;Yes;69.35;341.6;No;B
5027-YOCXN;Male;0;Yes;Yes;51;Yes;Yes;P2P;Yes;Yes;No;Yes;Yes;Yes;One year;No;110.05;5686.4;No;D
2321-OMBXY;Female;0;Yes;Yes;38;Yes;No;P2C;Yes;Yes;No;Yes;Yes;Yes;One year;No;80.3;3058.65;Yes;B
6745-JEFZB;Male;0;Yes;No;35;Yes;Yes;P2P;No;No;No;Yes;Yes;No;Month-to-month;Yes;91.5;3236.35;No;D
9880-TDQAC;Female;0;Yes;Yes;72;No;No;P2C;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;60;4264;No;B
7102-JJVTX;Female;0;Yes;Yes;9;Yes;No;P2C;Yes;No;No;No;No;No;One year;No;48.6;422.3;No;D
4983-CLMLV;Female;0;Yes;No;52;Yes;Yes;P2P;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;102.7;5138.1;No;B
5804-LEPIM;Female;1;No;No;2;Yes;No;P2P;No;No;No;No;No;No;Month-to-month;Yes;70.35;139.05;Yes;D
2739-CACDQ;Female;1;No;No;17;Yes;Yes;P2P;No;No;Yes;No;No;No;Month-to-month;Yes;82.65;1470.05;No;B
9498-FIMXL;Female;0;No;No;8;Yes;No;WIRE;No;No;No;No;No;No;One year;Yes;19.2;161.95;No;D
0122-OAHPZ;Female;0;No;No;7;Yes;Yes;P2P;No;No;No;No;No;No;Month-to-month;Yes;73.85;511.25;Yes;B
4322-RCYMT;Male;0;Yes;Yes;68;Yes;Yes;P2C;No;Yes;Yes;Yes;No;Yes;One year;Yes;75.8;5293.95;Yes;D
2088-IEBAU;Female;0;No;No;68;Yes;Yes;P2C;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;88.15;6148.45;No;B
1343-EHPYB;Male;0;Yes;No;63;Yes;Yes;P2P;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;103.4;6603;Yes;D
6885-PKOAM;Female;0;Yes;No;71;Yes;Yes;P2C;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;85.75;6223.8;No;B
9639-BUJXT;Male;0;No;No;63;Yes;No;WIRE;No;No;No;No;No;No;One year;No;20.5;1328.15;No;D
0021-IKXGC;Female;1;No;No;1;Yes;Yes;P2P;No;No;No;No;No;No;Month-to-month;Yes;72.1;72.1;No;B
8966-SNIZF;Female;0;Yes;No;70;Yes;No;WIRE;No;No;No;No;No;No;Two year;No;19.45;1303.5;No;D
4654-DLAMQ;Female;1;Yes;No;64;Yes;No;P2P;Yes;Yes;Yes;No;No;Yes;One year;No;97;6430.9;No;B
5160-UXJED;Male;0;No;Yes;17;Yes;No;P2C;No;No;No;No;No;No;One year;No;44.6;681.4;No;D
0219-YTZUE;Male;0;Yes;Yes;4;Yes;Yes;P2P;No;Yes;Yes;No;No;No;Month-to-month;Yes;84.8;371.9;Yes;B
4572-DVCGN;Female;0;No;No;10;Yes;No;P2P;No;No;No;No;No;Yes;Month-to-month;Yes;80.25;846;Yes;D
8984-EYLLL;Male;0;Yes;No;64;Yes;Yes;P2P;No;Yes;No;Yes;Yes;Yes;Two year;Yes;105.25;6823.4;No;B
9833-TGFHX;Male;0;Yes;Yes;42;Yes;Yes;P2P;Yes;No;No;No;Yes;Yes;One year;No;97.1;4016.75;No;D
5229-DTFYB;Female;0;No;No;41;Yes;No;P2P;No;Yes;No;Yes;Yes;Yes;Two year;Yes;98.8;3959.15;No;B
5176-LMJXE;Female;0;No;No;47;Yes;No;WIRE;No;No;No;No;No;No;Two year;Yes;20.55;945.7;No;D
1010-DIAUQ;Male;0;No;No;5;Yes;No;P2P;No;No;Yes;No;Yes;Yes;Month-to-month;No;96.5;492.55;Yes;B
7302-ZHMHP;Female;0;No;No;1;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;19.15;19.15;No;D
3520-FJGCV;Male;0;Yes;Yes;72;Yes;Yes;P2P;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;112.6;8126.65;No;B
0259-GBZSH;Male;0;No;No;2;Yes;Yes;P2P;No;No;No;No;Yes;No;Month-to-month;Yes;85.65;181.5;Yes;D
2805-EDJPQ;Female;0;Yes;Yes;56;Yes;Yes;P2P;No;Yes;Yes;Yes;No;Yes;One year;Yes;99.75;5608.4;No;B
7156-MXBJE;Female;0;No;No;43;Yes;Yes;P2C;No;Yes;Yes;Yes;Yes;Yes;One year;No;85.1;3662.25;No;D
9601-BRXPO;Female;0;Yes;No;25;Yes;Yes;P2P;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;104.95;2566.5;Yes;B
5686-CMAWK;Male;0;No;No;17;Yes;Yes;P2P;No;No;Yes;Yes;No;No;One year;No;86.75;1410.25;No;D
6905-NIQIN;Male;0;No;No;1;Yes;No;P2C;No;Yes;No;No;No;No;Month-to-month;No;50.65;50.65;Yes;B
5167-ZFFMM;Male;0;No;No;1;Yes;Yes;P2P;No;Yes;No;No;No;Yes;Month-to-month;Yes;90.85;90.85;Yes;D
4895-TMWIR;Male;1;Yes;No;11;Yes;No;WIRE;No;No;No;No;No;No;Month-to-month;No;19.95;214.75;Yes;B
1708-PBBOA;Female;0;No;No;42;No;No;P2C;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;54.75;2348.45;No;D
5522-JBWMO;Male;0;No;Yes;1;Yes;No;P2C;No;No;No;No;No;No;Month-to-month;No;44;44;No;B
